Reaction:   ZT= 82    AT 208    ZP 24    AP  54
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT sig_261Sg sig_262Sg sig_260Db sig_261Db
 266.7  24.7 1.876e-06 2.199e-13 1.172e-07 2.199e-13 1.875e-06    0.0  7.71e-14  0.00e+00  1.25e-13  1.78e-14
 266.7  24.7 1.876e-06 2.199e-13 1.172e-07 2.199e-13 1.875e-06    0.0  7.71e-14  0.00e+00  1.25e-13  1.78e-14
 275.9  32.0 4.298e-02 8.858e-10 2.061e-08 8.863e-10 4.297e-02    0.0  0.00e+00  0.00e+00  8.85e-10  8.09e-13
