Reaction:   ZT= 96    AT 248    ZP  8    AP  18
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT sig_255Rf sig_256Rf sig_257Rf sig_258Rf sig_259Rf sig_260Rf sig_261Rf sig_262Rf sig_263Rf sig_264Rf sig_265Rf sig_266Rf sig_254Lr sig_255Lr sig_256Lr sig_257Lr sig_258Lr sig_259Lr sig_260Lr sig_261Lr sig_262Lr sig_263Lr sig_264Lr sig_265Lr sig_253No sig_254No sig_255No sig_256No sig_257No sig_258No sig_259No sig_260No sig_261No sig_262No sig_263No sig_264No sig_252Md sig_253Md sig_254Md sig_255Md sig_256Md sig_257Md sig_258Md sig_259Md sig_260Md sig_261Md sig_262Md sig_263Md sig_251Fm sig_252Fm sig_253Fm sig_254Fm sig_255Fm sig_256Fm sig_257Fm sig_258Fm sig_259Fm sig_260Fm sig_261Fm sig_262Fm sig_250Es sig_251Es sig_252Es sig_253Es sig_254Es sig_255Es sig_256Es sig_257Es sig_258Es sig_259Es sig_260Es sig_261Es sig_249Cf sig_250Cf sig_251Cf sig_252Cf sig_253Cf sig_254Cf sig_255Cf sig_256Cf sig_257Cf sig_258Cf sig_259Cf sig_260Cf sig_248Bk sig_249Bk sig_250Bk sig_251Bk sig_252Bk sig_253Bk sig_254Bk sig_255Bk sig_256Bk sig_257Bk sig_258Bk sig_259Bk sig_247Cm sig_248Cm sig_249Cm sig_250Cm sig_251Cm sig_252Cm sig_253Cm sig_254Cm sig_255Cm sig_256Cm sig_257Cm sig_258Cm sig_246Am sig_247Am sig_248Am sig_249Am sig_250Am sig_251Am sig_252Am sig_253Am sig_254Am sig_255Am sig_256Am sig_257Am sig_245Pu sig_246Pu sig_247Pu sig_248Pu sig_249Pu sig_250Pu sig_251Pu sig_252Pu sig_253Pu sig_254Pu sig_255Pu sig_256Pu sig_244Np sig_245Np sig_246Np sig_247Np sig_248Np sig_249Np sig_250Np sig_251Np sig_252Np sig_253Np sig_254Np sig_255Np
  91.0  41.4 4.463e+01 1.028e-05 2.304e-07 1.027e-05 4.463e+01   16.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.37e-10  2.88e-06  6.89e-06  2.33e-07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  9.07e-11  6.60e-08  3.83e-08  1.80e-10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  5.02e-10  1.20e-07  5.36e-08  5.90e-10  0.00e+00  8.48e-12  4.41e-13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  7.89e-18  8.48e-13  3.97e-11  6.65e-12  1.48e-22  1.55e-19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.76e-15  4.06e-12  6.31e-11  4.49e-12  1.84e-21  1.39e-18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  7.45e-21  4.48e-18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
  94.0  44.2 1.460e+02 1.958e-05 1.341e-07 1.956e-05 1.460e+02   24.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.79e-08  1.29e-05  5.78e-06  1.03e-07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  4.00e-09  2.57e-07  2.42e-08  3.04e-11  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.57e-13  1.15e-08  4.25e-07  5.16e-08  1.94e-10  0.00e+00  2.82e-11  3.02e-13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  5.16e-15  2.24e-11  1.81e-10  5.46e-12  1.81e-19  7.26e-18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.55e-13  6.73e-11  3.14e-10  7.40e-12  5.56e-19  4.59e-17  0.00e+00  6.83e-34  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  9.74e-23  2.26e-18  1.40e-16  0.00e+00  1.05e-31  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
  99.0  48.8 3.582e+02 1.369e-05 3.821e-08 1.368e-05 3.582e+02   34.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  8.00e-12  7.17e-07  1.12e-05  9.26e-07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  4.12e-11  6.41e-08  1.62e-07  4.08e-09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.81e-10  1.58e-07  4.46e-07  7.84e-09  0.00e+00  0.00e+00  2.93e-11  4.74e-14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.14e-16  2.38e-12  3.37e-10  2.69e-10  1.25e-12  1.11e-16  3.42e-16  0.00e+00  0.00e+00  0.00e+00  2.00e-14  2.61e-11  8.89e-10  5.52e-10  2.25e-12  2.08e-16  1.11e-15  0.00e+00  1.11e-27  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.61e-18  6.81e-16  3.98e-15  0.00e+00  1.02e-26  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
