Reaction:   ZT= 82    AT 208    ZP 24    AP  54
Energies in MeV, cross sections in mb,  angular momenta in hbar
SIGSUM = sum of residual nucleus cross sections.  SIGRAT = SIGSUM/SIGFUS

  ELAB E*_CN    SIGFUS    SIGSUM    SIGRAT   SIGEVAP    SIGFIS  LCRIT sig_251Sg sig_252Sg sig_253Sg sig_254Sg sig_255Sg sig_256Sg sig_257Sg sig_258Sg sig_259Sg sig_260Sg sig_261Sg sig_262Sg sig_250Ha sig_251Ha sig_252Ha sig_253Ha sig_254Ha sig_255Ha sig_256Ha sig_257Ha sig_258Ha sig_259Ha sig_260Ha sig_261Ha sig_249Rf sig_250Rf sig_251Rf sig_252Rf sig_253Rf sig_254Rf sig_255Rf sig_256Rf sig_257Rf sig_258Rf sig_259Rf sig_260Rf sig_248Lr sig_249Lr sig_250Lr sig_251Lr sig_252Lr sig_253Lr sig_254Lr sig_255Lr sig_256Lr sig_257Lr sig_258Lr sig_259Lr sig_247No sig_248No sig_249No sig_250No sig_251No sig_252No sig_253No sig_254No sig_255No sig_256No sig_257No sig_258No sig_246Md sig_247Md sig_248Md sig_249Md sig_250Md sig_251Md sig_252Md sig_253Md sig_254Md sig_255Md sig_256Md sig_257Md sig_245Fm sig_246Fm sig_247Fm sig_248Fm sig_249Fm sig_250Fm sig_251Fm sig_252Fm sig_253Fm sig_254Fm sig_255Fm sig_256Fm sig_244Es sig_245Es sig_246Es sig_247Es sig_248Es sig_249Es sig_250Es sig_251Es sig_252Es sig_253Es sig_254Es sig_255Es sig_243Cf sig_244Cf sig_245Cf sig_246Cf sig_247Cf sig_248Cf sig_249Cf sig_250Cf sig_251Cf sig_252Cf sig_253Cf sig_254Cf sig_242Bk sig_243Bk sig_244Bk sig_245Bk sig_246Bk sig_247Bk sig_248Bk sig_249Bk sig_250Bk sig_251Bk sig_252Bk sig_253Bk sig_241Cm sig_242Cm sig_243Cm sig_244Cm sig_245Cm sig_246Cm sig_247Cm sig_248Cm sig_249Cm sig_250Cm sig_251Cm sig_252Cm sig_240Am sig_241Am sig_242Am sig_243Am sig_244Am sig_245Am sig_246Am sig_247Am sig_248Am sig_249Am sig_250Am sig_251Am
 266.7  24.7 1.876e-06 1.764e-11 9.401e-06 1.759e-11 1.876e-06    0.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.74e-14  1.73e-11  7.71e-14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  4.71e-18  1.25e-13  1.78e-14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  8.44e-18  6.93e-14  2.93e-14  0.00e+00  1.30e-18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.27e-18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  9.40e-19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 266.7  24.7 1.876e-06 1.764e-11 9.401e-06 1.759e-11 1.876e-06    0.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.74e-14  1.73e-11  7.71e-14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  4.71e-18  1.25e-13  1.78e-14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  8.44e-18  6.93e-14  2.93e-14  0.00e+00  1.30e-18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.27e-18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  9.40e-19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 275.9  32.0 4.298e-02 2.468e-08 5.743e-07 2.468e-08 4.298e-02    0.0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.79e-12  2.12e-08  1.72e-09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.11e-10  8.85e-10  8.09e-13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  1.06e-16  7.05e-11  6.89e-10  2.16e-12  6.80e-15  3.11e-13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  9.14e-15  7.78e-13  0.00e+00  1.61e-21  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  3.42e-15  2.75e-13  0.00e+00  1.41e-20  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  2.18e-20  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
