C (48)Ca+(206)Pb -> (254)No                                               
H:  X  Y  '253No  '
C 253No  
  23.3  0.435E-06;  23.3  0.465E-06;  23.6  0.581E-06;  24.2  0.932E-06;
  25.2  0.195E-05;  25.6  0.243E-05;  28.9  0.819E-05;  30.7  0.913E-05;
H:  X  Y  '248Fm  '
C 248Fm  
  50.4  0.384E-07;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.503E-09;
  28.9  0.452E-07;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.534E-11;
  25.2  0.158E-09;  25.6  0.503E-09;  28.9  0.452E-07;  30.7  0.214E-06;
H:  X  Y  '247Fm  '
C 247Fm  
  50.4  0.322E-06;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '251Es  '
C 251Es  
  50.4  0.739E-12;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.107E-19;
H:  X  Y  '250Es  '
C 250Es  
  50.4  0.300E-12;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '249Es  '
C 249Es  
  50.4  0.995E-10;  19.8  0.785E-15;  23.6  0.168E-11;  25.6  0.187E-10;
  28.9  0.294E-09;  19.8  0.785E-15;  20.4  0.570E-14;  23.0  0.739E-12;
  23.3  0.103E-11;  23.3  0.122E-11;  23.6  0.168E-11;  24.2  0.340E-11;
  25.2  0.118E-10;  25.6  0.187E-10;  28.9  0.294E-09;  30.7  0.920E-09;
H:  X  Y  '248Es  '
C 248Es  
  50.4  0.998E-08;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.208E-12;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.208E-12;  30.7  0.488E-11;
H:  X  Y  '247Es  '
C 247Es  
  50.4  0.798E-08;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '246Es  '
C 246Es  
  50.4  0.171E-10;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '250Cf  '
C 250Cf  
  50.4  0.236E-19;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '249Cf  '
C 249Cf  
  50.4  0.235E-22;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.000E+00;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
  25.2  0.000E+00;  25.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;
H:  X  Y  '248Cf  '
C 248Cf  
  50.4  0.231E-11;  19.8  0.000E+00;  23.6  0.000E+00;  25.6  0.000E+00;
  28.9  0.352E-20;  19.8  0.000E+00;  20.4  0.000E+00;  23.0  0.000E+00;
  23.3  0.000E+00;  23.3  0.000E+00;  23.6  0.000E+00;  24.2  0.000E+00;
