 -59.010 -58.930 -56.276 -56.184 -52.259 -51.552 -47.145 -45.819 -41.003 -39.033        
  27  51  70  51  64  53  64                                                            
 -27.414 -34.288 -42.640 -48.010 -54.024 -56.036 -59.343 -59.844 -62.226 -61.647        
 -62.897 -61.573 -61.851 -59.792 -60.091 -57.246 -56.623 -53.254 -52.004 -48.187        
  28  51  70  53  67  53  67                                                            
 -12.171 -22.760 -29.410 -39.289 -45.334 -53.903 -56.100 -60.225 -61.153 -64.470        
 -64.220 -66.746 -65.513 -67.098 -65.125 -66.021 -63.555 -63.633 -60.353 -60.035        
  29  51  70  55  70  58  70                                                            
      0.      0.      0.      0. -31.530 -38.500 -47.072 -51.659 -56.353 -58.341        
 -61.980 -62.798 -65.579 -65.423 -67.261 -66.257 -67.305 -65.390 -65.940 -63.230        
  30  51  80  57  78  57  78                                                            
      0.      0.      0.      0.      0.      0. -32.630 -42.260 -47.590 -54.185        
 -56.580 -61.169 -62.213 -66.001 -65.909 -68.898 -67.880 -70.006 -68.417 -69.560        
 -67.324 -68.136 -65.030 -65.820 -62.792 -62.174 -58.735 -57.422 -53.491 -51.564        
  31  61  80  61  80  63  79                                                            
 -47.233 -51.935 -56.690 -58.836 -62.650 -63.723 -66.879 -67.085 -69.322 -68.905        
 -70.144 -68.594 -69.730 -67.920 -68.560 -66.098 -65.965 -63.230 -62.455 -59.351        
  32  61  82  63  82  64  80                                                            
 -33.967 -42.358 -46.970 -54.430 -56.413 -61.621 -62.450 -66.971 -67.096 -70.561        
 -69.909 -72.584 -71.294 -73.422 -71.856 -73.213 -71.214 -71.760 -69.420 -68.990        
 -66.340 -65.790                                                                        
  33  61  90  65  84  69  83                                                            
 -17.885 -25.159 -33.621 -39.537 -46.657 -51.798 -56.334 -58.949 -63.130 -64.339        
 -67.900 -68.233 -70.957 -70.860 -73.032 -72.289 -73.921 -72.740 -73.720 -71.760        
 -72.590 -70.335 -69.945 -65.167 -62.429 -57.253 -54.071 -48.433 -44.938 -38.915        
  34  61  90  67  86  69  84                                                            
      0. -10.458 -17.592 -27.384 -33.191 -41.757 -46.347 -53.902 -56.278 -61.590        
 -63.100 -67.893 -68.217 -72.211 -72.167 -75.258 -74.605 -77.030 -75.919 -77.757        
 -76.387 -77.587 -75.443 -75.943 -71.674 -69.771 -64.976 -62.494 -57.126 -54.220        
  35  61  96  69  90  73  86   WAPSTRA-AUDI  &  MOLLER-MYERS                            
      0.      0.      0.      0.      0.      0.      0.      0. -46.800 -51.140        
 -56.244 -59.073 -63.580 -65.294 -69.157 -70.301 -73.240 -73.456 -76.075 -75.886        
 -77.971 -77.503 -79.022 -77.760 -78.607 -75.640 -73.856 -70.720 -68.420 -64.650        
 -60.62  -56.46  -53.26  -48.74  -45.13  -40.15                                         
  36  71 100  71  93  73  92                                                            
 -45.801 -53.711 -56.226 -62.060 -63.822 -69.100 -70.240 -74.150 -74.444 -77.897        
 -77.660 -80.596 -79.985 -82.432 -81.472 -83.264 -80.706 -79.697 -76.790 -75.230        
 -71.760 -69.220 -64.184 -61.695 -56.645 -53.881 -48.440 -45.440 -39.686 -36.465        
  37  71 100  74  99  75  95                                                            
 -31.913 -37.963 -45.559 -51.586 -56.217 -59.206 -65.240 -66.239 -70.860 -72.190        
 -75.398 -76.218 -78.987 -79.752 -82.159 -82.738 -84.596 -82.605 -81.718 -79.620        
 -77.960 -75.190 -72.746 -68.890 -66.495 -62.130 -59.420 -54.634 -51.654 -46.523        
  38  71 100  77  98  77  96                                                            
      0.      0.      0.      0.      0.      0. -57.960 -63.850 -65.930 -70.390        
 -71.410 -75.999 -76.737 -80.641 -81.095 -84.512 -84.869 -87.911 -86.204 -85.937        
 -83.664 -82.891 -80.040 -78.960 -75.024 -73.390 -69.179 -67.214 -62.573 -60.320        
  39  81 100  82  99  86  99                                                            
 -64.786 -68.39  -72.48  -73.692 -77.835 -79.240 -83.008 -84.292 -87.696 -86.483        
 -86.348 -84.821 -84.226 -82.381 -81.236 -77.905 -76.536 -73.675 -71.402 -67.501        
  40  81 101  84 101  87 100                                                            
 -56.251 -62.644 -65.139 -70.706 -72.734 -77.595 -79.430 -83.615 -84.865 -88.759        
 -87.891 -88.455 -87.116 -87.264 -85.666 -85.441 -82.955 -81.288 -77.850 -77.131        
 -73.050                                                                                
  41  81 103  86 103  89 101                                                            
 -44.708 -51.151 -56.318 -59.704 -65.575 -68.345 -73.638 -75.984 -80.614 -82.648        
 -86.634 -86.447 -87.209 -86.366 -86.788 -85.609 -85.617 -83.510 -82.345 -80.190        
 -78.950 -76.360 -75.410                                                                
  42  81 110  88 105  90 102                                                            
