relcode,shortened_label,a_proj,z_proj,a_targ,z_targ,energy,cross_section,error_plus,error_minus,channel
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,233.5,3.7999999999999996e-06,1.8999999999999998e-06,9.000000000000001e-07,2n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,237.7,1.52e-06,4.3e-07,3.4000000000000003e-07,2n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,239.1,1.7e-06,1e-06,7e-07,2n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,242.5,1.37e-06,2.0000000000000002e-07,2.1e-07,2n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,217.4,9.000000000000001e-07,0.0,9.000000000000001e-07,3n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,223.9,7.9e-06,7.9e-06,4.2999999999999995e-06,3n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,226.2,3e-05,9e-06,7e-06,3n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,233.5,1.8e-05,9e-06,8e-06,3n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,237.7,1.7e-06,2.5e-07,2.5e-07,3n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,239.1,3.7e-06,1.7e-06,1.2e-06,3n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,242.5,1.53e-06,3e-07,2.8e-07,3n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,237.7,1.1e-07,1.2e-07,7e-08,4n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,239.1,2.4e-07,0.0,2.4e-07,4n
3,(48)Ca+(206)Pb -> (254)No,48,20,206,82,242.5,2.6e-07,1.9e-07,1.3e-07,4n
4,(48)Ca+(208)Pb -> (256)No,48,20,208,82,213.5,0.00187,0.00043,0.00033,2n
4,(48)Ca+(208)Pb -> (256)No,48,20,208,82,216.7,0.00205,0.00046,0.00034,2n
4,(48)Ca+(208)Pb -> (256)No,48,20,208,82,219.4,0.00119,0.00029,0.00023,2n
5,(48)Ca+(207)Pb -> (255)No,48,20,207,82,213.5,0.00067,0.00046,0.00045,2n
5,(48)Ca+(207)Pb -> (255)No,48,20,207,82,216.7,0.00131,0.00043,0.00041,2n
5,(48)Ca+(207)Pb -> (255)No,48,20,207,82,219.4,0.00071,0.00037,0.00037,2n
